lexeme,stem,class
"kwa/nko""",kwanko,una
kwangwalam,kwangwalam,RED-id
"kwa""ndo/+",kwando,una
k'wandali/,kwandali,RED-comp
k'wandale/le,kwandalele,RED-comp
kwan'dale,kwandale,RED-comp
"k'wandage""",kwandage,Cai
k'wallo/,kwallo,aye
"kwa""la""nkwa+lma""",kwalankwalma,Cai
kwa/kwata/,kwakwata,oCi
"k'wa""kk'wa/+r+a/+",kwakkwara,a-a
k'wa/dali/,kwadali,RED-comp
"k'wa/dale/le""",kwadalele,RED-comp
"k'wa""da/+",kwada,oCi
kwacciya/,kwacciya,aye
"ku""ya+nga/+",kuyanga,i
"ku""tu+ttu+r+e""",kututture,Cai
kutur+u/,kuturu,a-e
"ku""tu""fa/+ni/+",kutufani,ai
"ku""tu""'bur'bu""ri/+",kutuburburi,RED-comp
"ku""she/+wa/+",kushewa,i
"ku""sha/+ya/+",kushaya,a-i
"ku""r+u+r+r+u+mi/+",kururrumi,ai
kurtuki/,kurtuki,RED-comp
"kurtuke/ke""",kurtukeke,RED-comp
"ku""rtu/+",kurtu,una
"k'ursume/me""",kursumeme,RED-comp
"kurshe""",kurshe,a-u
"ku/ri""",kuri,awa
kurfo/,kurfo,a-e
"ku""r+e/+ge/+",kurege,Cai
ku/r+a/,kura,a-a
kuntumi/,kuntumi,RED-comp
"kuntume/me""",kuntumeme,RED-comp
kuntukur+mi/,kuntukurmi,ai
"ku""ntu/+",kuntu,una
"k'u""nk'u+nta/+",kunkunta,a-a
kunkumi/,kunkumi,RED-comp
"kunkume/me""",kunkumeme,RED-comp
"kundu""ku+ki""",kundukuki,ai
"k'u""ndu/+",kundu,una
kundi/,kundi,aye
"kumho""",kumho,una
kumci/,kumci,u-a
kumbu/,kumbu,una
"kuma/""ku+mi/+",kumakumi,ai
k'u/lumi/,kulumi,ai
"k'ulu/k'u""lu""",kulukulu,a-e
"kulu""'bu/+tu""",kulubutu,Cai
kulma/,kulma,RED
"k'u""llu/+tu""",kullutu,Cai
kulki/,kulki,a-e
"k'u""kk'u/+sa/+",kukkusa,a-a
"kukku'be/'be""",kukkubebe,Cai
ku/ka/,kuka,RED-e
"k'u/gi""ya/+",kugiya,oCi
"k'udur+i""",kuduri,a-i
"ku""danda""mi/+",kudandami,ai
k'uda/,kuda,aCe
"kubba""",kubba,oCi
