lexeme,stem,class
decorar,decor,ar-regular
decretar,decret,ar-regular
dedicar,dedic,ar-regular
deformar,deform,ar-regular
defraudar,defraud,ar-regular
degenerar,dejener,ar-regular
degollar,degoL,ar-ue
degradar,degrad,ar-regular
degustar,degust,ar-regular
dejar,dej,ar-regular
delatar,delat,ar-regular
delegar,deleg,ar-regular
deleitar,deleit,ar-regular
deletrear,deletre,ar-regular
deliberar,deliber,ar-regular
delimitar,delimit,ar-regular
delinear,deline,ar-regular
demandar,demand,ar-regular
demarcar,demarc,ar-regular
democratizar,democratiz,ar-regular
demorar,demor,ar-regular
demostrar,demostr,ar-ue
denegar,deneg,ar-ie
denominar,denomin,ar-regular
denotar,denot,ar-regular
dentar,dent,ar-ie
denunciar,denunzi,ar-regular
deparar,depar,ar-regular
depilar,depil,ar-regular
deplorar,deplor,ar-regular
deportar,deport,ar-regular
depositar,deposit,ar-regular
depurar,depur,ar-regular
derivar,derib,ar-regular
derogar,derog,ar-regular
derramar,deRam,ar-regular
derribar,deRib,ar-regular
derrocar,deRoc,ar-regular
derrochar,deRoC,ar-regular
derrumbar,deRumb,ar-regular
desabrochar,desabroC,ar-regular
desaconsejar,desaconsej,ar-regular
desacreditar,desacredit,ar-regular
desactivar,desactib,ar-regular
desafiar,desafi,ar-regular
desagradar,desagrad,ar-regular
desagraviar,desagrabi,ar-regular
desaguar,desagu,ar-regular
desahogar,desaog,ar-regular
desahuciar,desauzi,ar-regular
desairar,desair,ar-regular
desajustar,desajust,ar-regular
desalentar,desalent,ar-ie
desalojar,desaloj,ar-regular
desamparar,desampar,ar-regular
desandar,desand,ar-regular
desanimar,desanim,ar-regular
desaprobar,desaprob,ar-ue
desaprovechar,desaprobeC,ar-regular
desarmar,desarm,ar-regular
desarraigar,desaRaig,ar-regular
desarreglar,desaRegl,ar-regular
desarrollar,desaRoL,ar-regular
desarticular,desarticul,ar-regular
desatar,desat,ar-regular
desautorizar,desautoriz,ar-regular
desayunar,desaLun,ar-regular
desbancar,desbanc,ar-regular
desbandar,desband,ar-regular
desbaratar,desbarat,ar-regular
desbloquear,desbloce,ar-regular
desbocar,desboc,ar-regular
desbordar,desbord,ar-regular
descabellar,descabeL,ar-regular
descabezar,descabez,ar-regular
descalificar,descalific,ar-regular
descalzar,descalz,ar-regular
descansar,descans,ar-regular
descargar,descarg,ar-regular
descarrilar,descaRil,ar-regular
descartar,descart,ar-regular
descentralizar,deszentraliz,ar-regular
descentrar,deszentr,ar-regular
descifrar,deszifr,ar-regular
descolgar,descolg,ar-ue
descompensar,descompens,ar-regular
desconcentrar,desconzentr,ar-regular
desconcertar,desconzert,ar-ie
desconectar,desconect,ar-regular
desconfiar,desconfi,ar-regular
descongestionar,desconjestion,ar-regular
desconsolar,desconsol,ar-ue
descontar,descont,ar-ue
descuartizar,descuartiz,ar-regular
descuidar,descuid,ar-regular
desdoblar,desdobl,ar-regular
desear,dese,ar-regular
desecar,desec,ar-regular
desechar,deseC,ar-regular
desembarcar,desembarc,ar-regular
desembocar,desemboc,ar-regular
desembolsar,desembols,ar-regular
desempaquetar,desempacet,ar-regular
desencadenar,desencaden,ar-regular
desencajar,desencaj,ar-regular
desencantar,desencant,ar-regular
desenfocar,desenfoc,ar-regular
desenganchar,desenganC,ar-regular
desenredar,desenred,ar-regular
desenterrar,desenteR,ar-ie
desentonar,desenton,ar-regular
desequilibrar,desecilibr,ar-regular
desertar,desert,ar-regular
desesperanzar,desesperanz,ar-regular
desesperar,desesper,ar-regular
desestabilizar,desestabiliz,ar-regular
desestimar,desestim,ar-regular
desfasar,desfas,ar-regular
desfigurar,desfigur,ar-regular
desfilar,desfil,ar-regular
desfogar,desfog,ar-regular
desgajar,desgaj,ar-regular
desgarrar,desgaR,ar-regular
desgastar,desgast,ar-regular
desglosar,desglos,ar-regular
desgraciar,desgrazi,ar-regular
desgranar,desgran,ar-regular
desgravar,desgrab,ar-regular
desguazar,desguaz,ar-regular
deshabitar,desabit,ar-regular
desheredar,desered,ar-regular
deshojar,desoj,ar-regular
deshuesar,desues,ar-regular
designar,design,ar-regular
desilusionar,desilusion,ar-regular
desinformar,desinform,ar-regular
desintegrar,desintegr,ar-regular
deslavar,deslab,ar-regular
desligar,deslig,ar-regular
deslindar,deslind,ar-regular
deslizar,desliz,ar-regular
deslumbrar,deslumbr,ar-regular
desmantelar,desmantel,ar-regular
desmayar,desmaL,ar-regular
desmedrar,desmedr,ar-regular
desmembrar,desmembr,ar-ie
desmenuzar,desmenuz,ar-regular
desmigajar,desmigaj,ar-regular
desmilitarizar,desmilitariz,ar-regular
desmontar,desmont,ar-regular
desmoralizar,desmoraliz,ar-regular
desmoronar,desmoron,ar-regular
desmovilizar,desmobiliz,ar-regular
desnatar,desnat,ar-regular
desnaturalizar,desnaturaliz,ar-regular
desnivelar,desnibel,ar-regular
desnudar,desnud,ar-regular
desocupar,desocup,ar-regular
desolar,desol,ar-ue
desorbitar,desorbit,ar-regular
desordenar,desorden,ar-regular
desorganizar,desorganiz,ar-regular
desorientar,desorient,ar-regular
despachar,despaC,ar-regular
desparramar,despaRam,ar-regular
despedazar,despedaz,ar-regular
despegar,despeg,ar-regular
despeinar,despein,ar-regular
despejar,despej,ar-regular
desperdiciar,desperdizi,ar-regular
desperdigar,desperdig,ar-regular
despertar,despert,ar-ie
despilfarrar,despilfaR,ar-regular
despistar,despist,ar-regular
desplantar,desplant,ar-regular
